"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"MMP17",35.0038389691553,-1.10589890282711,0.189732427179928,5.51569690328509e-10,8.76260381368558e-09
"SMCHD1",770.206109337139,1.00290794246181,0.174977424183036,7.6535248840262e-10,1.1632952657157e-08
"LKAAEAR1",13.5472571749993,-1.10990243828287,0.193188969175627,7.81490446156173e-10,1.18491520669575e-08
"GPAA1",67.9878739837846,-1.02046370865691,0.177584729203714,9.76243112593817e-10,1.4449610790752e-08
"JSRP1",12.2087563423791,-1.0154769803748,0.180087466552743,1.36755893715782e-09,1.95925427690205e-08
"RGS18",216.055771887506,1.03750564798289,0.184842203992288,1.50968907398955e-09,2.13506769336327e-08
"ZNF354B",374.084113446339,1.11585115217372,0.199604502838322,1.52672734875942e-09,2.15065493916869e-08
"SF3B6",19.0713914962588,1.00648922182905,0.178875840801837,1.68844024926167e-09,2.35755065272884e-08
"ADAT3",18.3226320822198,-1.01696957491859,0.182710176972702,1.87546341565468e-09,2.60090940029394e-08
"RPL29",98.2587115252783,-1.46317267526403,0.273101854098278,4.50064693695674e-09,5.75583630631552e-08
"CARMIL3",13.9124635292297,-1.14395113897918,0.212693577813831,5.26737901165496e-09,6.61801275119882e-08
"LY96",10.0149516031982,1.30267192765741,0.247177340146719,8.57862138806555e-09,1.03073217316438e-07
"FCGBP",38.7232423226396,-1.38308849975373,0.262425531168969,9.25672798018771e-09,1.1057033973327e-07
"RPL21P16",245.246645362685,1.00085440816615,0.202689395952668,6.00030705539193e-08,5.98273293430919e-07
"ORC4",202.93724015908,1.4776075187777,0.30610195396528,7.3795485923379e-08,7.21208378491096e-07
"CNEP1R1",46.2416405634597,1.12141680477128,0.233758893012212,8.65407307480774e-08,8.25456549857246e-07
"SPP2",18.9684367795022,1.01673076203782,0.20948109795261,8.87004704724176e-08,8.44367061794026e-07
"PKNOX2",11.5479240683168,1.90251572669593,0.406336175607549,1.09458089149994e-07,1.01757591590807e-06
"CEP295NL",19.1285519600377,-1.09069310627055,0.229604510758803,1.47938262479853e-07,1.32949168883528e-06
"REPS2",482.218852205594,1.01912934209885,0.216369998811406,1.96809732951367e-07,1.7147992454227e-06
"NTSR1",17.0087968716657,-1.03237228307403,0.223139311182982,2.22761527518907e-07,1.9083548954256e-06
"AGRN",39.1843811348147,-1.1193111107726,0.243400153226392,2.99022793551298e-07,2.47707294449389e-06
"COX7C",42.1077292335803,1.04728293403013,0.228136541104711,3.38904364709529e-07,2.75948440012349e-06
"PPBP",459.82256219344,1.31788720795948,0.293805941950301,4.29197767957636e-07,3.38668304981142e-06
"SPC25",10.5477739251249,1.23071912963557,0.275526566195301,4.33198014635467e-07,3.4155407456406e-06
"RPL22P1",19.8414933575046,1.35208874218433,0.302393492377605,4.68255658470979e-07,3.65254741124826e-06
"ERO1B",9.99777629122791,1.03400855804112,0.229015686945013,4.7016993083797e-07,3.66348210960289e-06
"MTSS2",9.6331033872888,-1.05174100443336,0.237736155243763,6.75256919785419e-07,5.04431736629672e-06
"LYZ",284.144743064174,1.49391512007343,0.343242522806191,7.07755398890608e-07,5.26782232865066e-06
"HMGB3",12.4133882415584,2.71798413600207,0.30968378514006,7.37416193466254e-07,5.47718271905481e-06
"SMIM30",9.03737863356665,1.07831959553494,0.245919285542272,7.72165052075354e-07,5.71450099098003e-06
"WDR81",139.193207404836,-1.18650649229444,0.275445056871417,1.02375553802706e-06,7.3778511505599e-06
"ZNF442",157.687685908007,1.06873218588147,0.25199041876825,1.45331168503581e-06,1.00920109143478e-05
